,PRN,Y,M,D,H,min,sec,af0,af1,af2,IODE,Crs,deltaN,M0,Cuc,Eccentricity,Cus,sqrtA,Toe,Cic,Omega0,Cis,Io,Crc,omega,OmegaDot,IDOT,L2_codes,GPSWeek,L2_dataflag,SV_acc,SV_health,TGD,IODC,msg_trans_t,fit_int
38,20.0,20.0,8.0,5.0,23.0,59.0,44.0,0.0005271192640066,-1.136868377216e-13,0.0,2.0,-101.71874999999999,5.24236122253e-09,-0.5115156130556,-5.3513795137409995e-06,0.005419884924777,5.250796675682e-06,5153.661283493,345584.0,4.4703483581540004e-08,2.725417522751,-1.0617077350619998e-07,0.9350724968599,264.03125,2.6880536997,-8.578214459922e-09,-1.6679266186960002e-10,1.0,2117.0,0.0,2.0,0.0,-8.847564458847e-09,2.0,338418.0,4.0
39,22.0,20.0,8.0,5.0,23.0,59.0,44.0,-0.0007665446028113001,3.069544618484e-12,0.0,54.0,-107.71875,5.334507946486e-09,1.210092913661,-5.640089511871e-06,0.006859834073111,5.880370736121999e-06,5153.771951675,345584.0,7.450580596924e-08,2.772631833005,-1.7508864402769998e-07,0.9317967350856,253.625,-1.110100357804,-8.530355088965002e-09,-1.764359214285e-10,1.0,2117.0,0.0,2.0,0.0,-1.8160790204999998e-08,54.0,345600.0,0.0
40,25.0,20.0,8.0,5.0,23.0,59.0,44.0,3.183260560036e-05,4.6611603465859995e-12,0.0,4.0,-28.71875,4.361967407737e-09,-1.637658677229,-1.4919787645339998e-06,0.009085695026442001,8.840113878249998e-06,5153.753610611,345584.0,2.495944499969e-07,-0.27985382937819997,-8.754432201385e-08,0.9649069965466,212.40625,0.9374767968715001,-7.829254691312002e-09,-6.232402461722e-10,1.0,2117.0,0.0,2.0,0.0,5.587935447693e-09,4.0,342978.0,4.0
41,26.0,20.0,8.0,5.0,23.0,59.0,44.0,0.000256257597357,6.707523425575e-12,0.0,17.0,-32.96875,4.81448614309e-09,-2.221621115437,-1.6689300537109998e-06,0.004824129631743001,8.478760719299e-06,5153.656356812,345584.0,-3.725290298462e-08,-0.3164313939405,-3.5390257835390003e-08,0.9459227715374001,208.875,0.2082082429948,-8.132124307281e-09,-5.028780725169e-10,1.0,2117.0,0.0,2.0,0.0,6.984919309616e-09,17.0,345600.0,0.0
42,27.0,20.0,8.0,5.0,23.0,59.0,44.0,-0.00036402093246580005,-9.436007530894001e-12,0.0,7.0,85.65625,3.777300196858e-09,2.147440929854,4.393979907036e-06,0.008308202377521001,9.823590517044e-06,5153.674930573,345584.0,-1.657754182816e-07,0.7651716371329,-3.3527612686160006e-08,0.9779224587386001,198.84375,0.580087097996,-7.718178635977e-09,1.403629895391e-10,1.0,2117.0,0.0,2.0,0.0,1.862645149231e-09,7.0,344753.0,4.0
43,28.0,20.0,8.0,5.0,23.0,59.0,44.0,0.0006924495100975001,-3.865352482535e-12,0.0,5.0,-20.28125,3.886947621256e-09,2.916353393345,-9.555369615555e-07,0.01838021061849,9.968876838683999e-06,5153.665039062,345584.0,2.5145709514619995e-07,-0.1875530919734,4.2840838432310007e-08,0.9768787310574001,191.875,-1.401444242749,-7.359592270845e-09,-6.450268679581e-10,1.0,2117.0,0.0,2.0,0.0,-1.117587089539e-08,5.0,340519.0,4.0
44,29.0,20.0,8.0,5.0,23.0,59.0,44.0,-0.0001663859002292,-8.4128259914e-12,0.0,25.0,95.0,3.618007847406e-09,2.354217324224,5.034729838371e-06,0.0016322574811060001,9.870156645774999e-06,5153.773460388,345584.0,-4.2840838432310007e-08,0.835879500342,4.656612873077e-08,0.9855080605607001,201.5625,2.139317468645,-7.58817322073e-09,2.0179411982080004e-10,1.0,2117.0,0.0,2.0,0.0,-1.0244548320769999e-08,25.0,338418.0,4.0
45,31.0,20.0,8.0,5.0,23.0,59.0,44.0,-6.030825898051e-05,-2.5011104298759998e-12,0.0,3.0,14.3125,5.021637772273001e-09,-1.039735589846,7.413327693939e-07,0.009568359935656,4.783272743224999e-06,5153.619747162,345584.0,1.080334186554e-07,-1.301376081823,-1.2107193469999998e-07,0.9567905280860001,285.25,0.144021692613,-8.324632538859e-09,1.0500437325200001e-10,1.0,2117.0,0.0,2.0,0.0,-1.3038516044620001e-08,3.0,345600.0,0.0
46,32.0,20.0,8.0,5.0,23.0,59.0,44.0,0.000328351277858,5.684341886081e-12,0.0,24.0,-6.0625,4.469829043464001e-09,2.84183679951,-3.278255462646e-07,0.004104208084755001,1.0851770639420001e-05,5153.747070312,345584.0,-3.5390257835390003e-08,-2.382574784283,-7.82310962677e-08,0.9570402130921001,167.8125,-2.435419569252,-7.817468486084e-09,3.303709041314e-10,1.0,2117.0,0.0,2.0,0.0,4.656612873077e-10,24.0,344898.0,4.0
47,1.0,20.0,8.0,6.0,0.0,0.0,0.0,3.1867064535620004e-05,2.84217094304e-12,0.0,73.0,25.75,4.420184118411001e-09,0.002613020385645,1.424923539162e-06,0.01007429161109,2.235174179077e-06,5153.69965744,345600.0,6.705522537231e-08,1.821350271121,1.676380634308e-07,0.9807264967266001,350.75,0.8170905193056002,-8.391063807203e-09,2.03937066226e-10,1.0,2117.0,0.0,2.0,0.0,5.122274160385e-09,73.0,338418.0,4.0
48,3.0,20.0,8.0,6.0,0.0,0.0,0.0,-0.0002615391276777,-1.125499693444e-11,0.0,41.0,-102.9375,4.504830501415e-09,-1.093136495809,-5.2172690629960004e-06,0.0031266023870559997,7.212162017822e-06,5153.775501251001,345600.0,3.725290298462e-08,2.861560523756,9.313225746155e-09,0.9667358270104001,244.1875,0.8177325179788,-8.067478900021e-09,-1.750072897561e-10,1.0,2117.0,0.0,2.0,0.0,1.862645149231e-09,41.0,338418.0,4.0
49,4.0,20.0,8.0,6.0,0.0,0.0,0.0,-0.0001211403869092,-4.433786671143e-12,0.0,36.0,3.15625,4.551975241185e-09,1.285404819985,2.607703208923e-07,0.0008005484705791,1.0915100574490001e-05,5153.652963638,345600.0,2.9802322387700004e-08,-2.342818392361,1.862645149231e-08,0.9601640420463999,169.125,-2.712643838493,-7.954974456936e-09,3.9751654745680004e-10,1.0,2117.0,0.0,2.0,0.0,-4.19095158577e-09,36.0,345600.0,0.0
50,5.0,20.0,8.0,6.0,0.0,0.0,0.0,-1.819618046284e-05,-7.958078640513001e-13,0.0,70.0,-120.96875,4.785556480493e-09,2.928241766395,-6.275251507759e-06,0.006052587646991001,6.7856162786479995e-06,5153.715597153,345600.0,-3.725290298462e-09,2.828718249869,-6.891787052155e-08,0.9536295995292001,247.46875,0.840263072924,-8.168911696533e-09,-2.475103097979e-10,1.0,2117.0,0.0,2.0,0.0,-1.117587089539e-08,70.0,338418.0,4.0
51,6.0,20.0,8.0,6.0,0.0,0.0,0.0,-0.00031220447272060003,-4.433786671143e-12,0.0,90.0,33.5,4.3676819314840006e-09,0.2767047548466,1.6950070857999998e-06,0.0017625582404430002,1.814216375351e-06,5153.586597443,345600.0,-2.2351741790770002e-08,1.813097435289,-4.842877388e-08,0.9802658165088,349.3125,-1.081260504897,-8.341061724415002e-09,2.3858136644300003e-10,1.0,2117.0,0.0,2.0,0.0,4.19095158577e-09,90.0,338418.0,4.0
52,7.0,20.0,8.0,6.0,0.0,0.0,0.0,-0.0003437320701778,-8.526512829121e-12,0.0,28.0,15.78125,5.252718796822001e-09,-0.7141998495876001,8.400529623032e-07,0.01416647958104,4.6007335186e-06,5153.640800476001,345600.0,1.173466444016e-07,-1.317228614693,2.6635825633999996e-07,0.952379579918,285.125,-2.374380612929,-8.57214277844e-09,-1.2500520696859999e-11,1.0,2117.0,0.0,2.0,0.0,-1.117587089539e-08,28.0,338418.0,4.0
53,8.0,20.0,8.0,6.0,0.0,0.0,0.0,-4.34797257185e-05,-1.2505552149379999e-12,0.0,63.0,90.40625,3.982665894021e-09,2.300660447788,4.6659260988240005e-06,0.005378926754929,9.894371032715e-06,5153.707485199,345600.0,-5.774199962616e-08,0.7503220969899,3.911554813385e-08,0.9694773603606001,193.53125,-0.05990142926068,-7.761037564081e-09,9.678974596713998e-11,1.0,2117.0,0.0,2.82842707634,0.0,5.122274160385e-09,63.0,338813.0,4.0
54,9.0,20.0,8.0,6.0,0.0,0.0,0.0,-0.0002657021395862,-6.139089236967e-12,0.0,32.0,-1.28125,4.588762568951e-09,2.550261533589,-5.0291419029239996e-08,0.0016051980201150001,1.1550262570380002e-05,5153.68821907,345600.0,2.421438694e-08,-2.391286863748,-5.0291419029239996e-08,0.9529540078681,149.5,1.778432963809,-7.963903157104e-09,3.7108688582970004e-10,1.0,2117.0,0.0,2.0,0.0,1.396983861923e-09,32.0,338418.0,4.0
55,10.0,20.0,8.0,6.0,0.0,0.0,0.0,-0.0004197843372822,-1.034550223267e-11,0.0,101.0,-107.43750000000001,4.408040755448e-09,-2.032802594936,-5.720183253288e-06,0.005767682800069,6.893649697304e-06,5153.6722278590005,345600.0,7.636845111847e-08,2.858553154784,-9.499490261078e-08,0.9666680836629,249.03125,-2.650114076483,-8.033191757538002e-09,-1.303625729816e-10,1.0,2117.0,0.0,2.0,0.0,2.3283064365390003e-09,101.0,340368.0,4.0
